,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,preview_url
0,The Complete BBC Sessions,1,4AIJz1t4ysqOT1c5BLSRQQ,You Shook Me - 23/3/69 Top Gear; 2016 Remaster,spotify:track:4AIJz1t4ysqOT1c5BLSRQQ,314013,0.127,0.414,0.49,0.0999,0.472,-8.576,0.0545,130.761,0.67,43,https://p.scdn.co/mp3-preview/88a78d18120ed0790cc1b4fe899dc3211e4b1f0c?cid=ba0aefea59a44616bc6703a7294d312d
1,The Complete BBC Sessions,2,5QRD5sNh0aaWMyjTzQ0QIn,I Can't Quit You Baby - 23/3/69 Top Gear; 2016 Remaster,spotify:track:5QRD5sNh0aaWMyjTzQ0QIn,263626,0.023,0.411,0.442,0.0266,0.198,-12.276,0.262,145.973,0.367,42,https://p.scdn.co/mp3-preview/435bfca6feccbfe0c20bb26504827bc2ee1ff9da?cid=ba0aefea59a44616bc6703a7294d312d
2,The Complete BBC Sessions,3,0RR8wuHHc5NqSFxhPDDBNV,Communication Breakdown - Live on Tasty Pop Sundae from BBC Sessions; 2016 Remaster,spotify:track:0RR8wuHHc5NqSFxhPDDBNV,191826,0.00574,0.367,0.779,0.00708,0.288,-8.334,0.0488,90.354,0.794,53,https://p.scdn.co/mp3-preview/401384cd8569b5853eb60c151ca41778292f8ae5?cid=ba0aefea59a44616bc6703a7294d312d
3,The Complete BBC Sessions,4,3vDA1z8UmHtVLQV7McvhEj,Dazed and Confused - 3/23/69 Top Gear; 2016 Remaster,spotify:track:3vDA1z8UmHtVLQV7McvhEj,399586,0.00882,0.303,0.571,0.0757,0.114,-11.521,0.0958,152.001,0.422,42,https://p.scdn.co/mp3-preview/9370494b025fd3c2a5e4f77918b645d06126c8b4?cid=ba0aefea59a44616bc6703a7294d312d
4,The Complete BBC Sessions,5,7ecVrUYlhj6OrKTAK0oDzo,The Girl I Love She Got Long Black Wavy Hair - Live on Tasty Pop Sundae from BBC Sessions; 2016 Remaster,spotify:track:7ecVrUYlhj6OrKTAK0oDzo,183226,0.111,0.264,0.609,0.311,0.322,-10.992,0.0655,185.875,0.862,53,https://p.scdn.co/mp3-preview/64d6983bd5f31bcec3e4e8a67a99a58cf37f2b72?cid=ba0aefea59a44616bc6703a7294d312d
5,The Complete BBC Sessions,6,7oI0UewzZ7PS0ljPxDqh5g,What Is and What Should Never Be - 29/6/69 Top Gear; 2016 Remaster,spotify:track:7oI0UewzZ7PS0ljPxDqh5g,260013,0.73,0.304,0.559,0.000149,0.134,-9.793,0.0403,82.927,0.618,41,https://p.scdn.co/mp3-preview/b62236c09126fa3d451098cf69976afe90bcd257?cid=ba0aefea59a44616bc6703a7294d312d
6,The Complete BBC Sessions,7,2MoEFJIvt1huvOB16ggVVV,Communication Breakdown - 29/6/69 Top Gear; 2016 Remaster,spotify:track:2MoEFJIvt1huvOB16ggVVV,160266,0.18,0.403,0.809,0.0371,0.799,-7.658,0.0506,91.323,0.779,39,https://p.scdn.co/mp3-preview/4e38a6ec20edf05fabe12978e3675340487bfc8a?cid=ba0aefea59a44616bc6703a7294d312d
7,The Complete BBC Sessions,8,5cWIRgigrzjTjDBNXQxhAR,Travelling Riverside Blues - 29/6/69 Top Gear; 2016 Remaster,spotify:track:5cWIRgigrzjTjDBNXQxhAR,310906,0.177,0.476,0.78,0.00308,0.26,-9.009,0.0564,91.609,0.634,53,https://p.scdn.co/mp3-preview/99d887c54c5f2d55c35b8d18145a9964791f8a9a?cid=ba0aefea59a44616bc6703a7294d312d
8,The Complete BBC Sessions,9,03ybzRUwX9zWK69fSAAROH,Whole Lotta Love - 29/6/69 Top Gear; 2016 Remaster,spotify:track:03ybzRUwX9zWK69fSAAROH,370733,0.51,0.332,0.742,0.188,0.106,-10.63,0.0917,87.335,0.55,41,https://p.scdn.co/mp3-preview/547df5251cac493876aecdd8822e11562d75b17f?cid=ba0aefea59a44616bc6703a7294d312d
9,The Complete BBC Sessions,10,4AX9BMMXAZmXKRmfLSYFVD,Somethin' Else - Live on Tasty Pop Sundae from BBC Sessions; 2016 Remaster,spotify:track:4AX9BMMXAZmXKRmfLSYFVD,126493,0.0566,0.324,0.736,2.6e-05,0.344,-9.1,0.0307,156.903,0.85,38,https://p.scdn.co/mp3-preview/5c726192e1a42a7fd04fad1874facaa0055827e3?cid=ba0aefea59a44616bc6703a7294d312d
10,The Complete BBC Sessions,11,2mxCbflovI7X3GJqodNmQW,Communication Breakdown - 10/8/69 Playhouse Theatre; 2016 Remaster,spotify:track:2mxCbflovI7X3GJqodNmQW,184613,0.0134,0.286,0.611,0.00657,0.658,-10.579,0.0699,184.027,0.841,37,https://p.scdn.co/mp3-preview/78f7fd7682c9b9e7738d72f4809bba7c40964710?cid=ba0aefea59a44616bc6703a7294d312d
11,The Complete BBC Sessions,12,2gJFReyGxkjBSGH7hTMMBW,I Can't Quit You Baby - 10/8/69 Playhouse Theatre; 2016 Remaster,spotify:track:2gJFReyGxkjBSGH7hTMMBW,380826,0.045,0.426,0.446,0.00827,0.702,-12.806,0.175,141.418,0.502,37,https://p.scdn.co/mp3-preview/7f6d5bda29b1c6773b3195c2fdfe43a29e75706d?cid=ba0aefea59a44616bc6703a7294d312d
12,The Complete BBC Sessions,13,593pmTrKexLeNCihWPLV4G,You Shook Me - 10/8/69 Playhouse Theatre; 2016 Remaster,spotify:track:593pmTrKexLeNCihWPLV4G,613546,0.398,0.384,0.623,0.128,0.884,-8.875,0.138,142.907,0.539,36,https://p.scdn.co/mp3-preview/51902a25d8150f18824b03d8506b8d4f8720cd24?cid=ba0aefea59a44616bc6703a7294d312d
13,The Complete BBC Sessions,14,01E0FRixFbsbB98fg4x6ev,How Many More Times - 10/8/69 Playhouse Theatre; 2016 Remaster,spotify:track:01E0FRixFbsbB98fg4x6ev,698280,0.143,0.379,0.358,0.00373,0.762,-13.909,0.0641,74.624,0.466,36,https://p.scdn.co/mp3-preview/e5957eee8b2e772ea9399e3fcb6c91c7821acf50?cid=ba0aefea59a44616bc6703a7294d312d
14,The Complete BBC Sessions,1,5X95UM2l8CHywHaYRDJPQs,Immigrant Song - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:5X95UM2l8CHywHaYRDJPQs,201280,0.00154,0.28,0.873,7.27e-06,0.669,-8.905,0.0897,119.342,0.305,38,https://p.scdn.co/mp3-preview/ce06539e441f69c20901fbd9d0483f66c317fd72?cid=ba0aefea59a44616bc6703a7294d312d
15,The Complete BBC Sessions,2,6QfmPnJkxdiF74BA17sADx,Heartbreaker - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:6QfmPnJkxdiF74BA17sADx,315680,0.0058,0.302,0.904,4.01e-05,0.871,-8.686,0.0848,114.196,0.475,37,https://p.scdn.co/mp3-preview/f8c48b3113dfae8a4616d2658d3f2191fe4f22ee?cid=ba0aefea59a44616bc6703a7294d312d
16,The Complete BBC Sessions,3,3ztOzed3fKKnQhjlSlt8zC,Since I've Been Loving You - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:3ztOzed3fKKnQhjlSlt8zC,416266,0.0637,0.367,0.579,0.00846,0.967,-10.782,0.0528,128.277,0.369,40,https://p.scdn.co/mp3-preview/69305a6a013e6ce1a96c8f3b994ec418bc029896?cid=ba0aefea59a44616bc6703a7294d312d
17,The Complete BBC Sessions,4,1WjcnUqyx9Y3g6qkqQYUv8,Black Dog - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:1WjcnUqyx9Y3g6qkqQYUv8,317520,0.015,0.333,0.904,0.00874,0.928,-9.589,0.342,84.278,0.512,37,https://p.scdn.co/mp3-preview/1e9233ee1fc9624d8387ee5666224cddf90aa453?cid=ba0aefea59a44616bc6703a7294d312d
18,The Complete BBC Sessions,5,6n7AvsSb4TzPMHVger0qHw,Dazed and Confused - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:6n7AvsSb4TzPMHVger0qHw,1116613,0.0706,0.326,0.521,0.265,0.765,-13.181,0.0742,131.846,0.141,34,https://p.scdn.co/mp3-preview/954447d884aa8249029540aee9467b197aa5d190?cid=ba0aefea59a44616bc6703a7294d312d
19,The Complete BBC Sessions,6,5eDGkltiw0sZbi1LRhxb8j,Stairway to Heaven - Live: 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:5eDGkltiw0sZbi1LRhxb8j,529373,0.392,0.314,0.442,0.00753,0.862,-12.119,0.0565,102.799,0.187,37,https://p.scdn.co/mp3-preview/c2586acd4b782e0c06d2170f4c36caf6f5387de1?cid=ba0aefea59a44616bc6703a7294d312d
20,The Complete BBC Sessions,7,7KfIcdv3NrWdomDqZWVnU3,Going to California - Live 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:7KfIcdv3NrWdomDqZWVnU3,234666,0.597,0.386,0.292,0.00044,0.745,-18.692,0.0393,149.215,0.211,38,https://p.scdn.co/mp3-preview/26699503f467d4e4a772d0ad464f257e2598356c?cid=ba0aefea59a44616bc6703a7294d312d
21,The Complete BBC Sessions,8,4U3jBsqRSepwtuxDXnUadz,That's the Way - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:4U3jBsqRSepwtuxDXnUadz,343320,0.518,0.448,0.367,0.000278,0.951,-16.487,0.0683,91.911,0.253,36,https://p.scdn.co/mp3-preview/17ece8d170e55a86a48e5c9431ae7428128a6077?cid=ba0aefea59a44616bc6703a7294d312d
22,The Complete BBC Sessions,9,1jD9o6FcboH4s9I9zqB74K,Whole Lotta Love (Medley) - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:1jD9o6FcboH4s9I9zqB74K,825000,0.0123,0.346,0.866,0.00021,0.949,-9.741,0.0963,100.027,0.365,34,https://p.scdn.co/mp3-preview/77cbf237996151bc95ea48e62581d6b2a1506a8b?cid=ba0aefea59a44616bc6703a7294d312d
23,The Complete BBC Sessions,10,18W1RpWFGPD2wrobPz2SXX,Thank You - 1/4/71 Paris Theatre; 2016 Remaster,spotify:track:18W1RpWFGPD2wrobPz2SXX,399586,0.0202,0.156,0.446,0.00475,0.962,-11.942,0.056,167.426,0.148,36,https://p.scdn.co/mp3-preview/35667df53b17819d95ddb160b2a83207a1440f75?cid=ba0aefea59a44616bc6703a7294d312d
24,The Complete BBC Sessions,1,6tuK0GEmQvC1pLIvk9HLaw,Communication Breakdown - 23/3/69 Top Gear; 2016 Remaster,spotify:track:6tuK0GEmQvC1pLIvk9HLaw,181426,0.0103,0.306,0.726,0.0102,0.395,-8.916,0.0542,182.24,0.544,31,https://p.scdn.co/mp3-preview/4d5b7aca2615a94e658395ba24abcffdc299f8fc?cid=ba0aefea59a44616bc6703a7294d312d
